stage,script,purpose,writes,in_git
Supporting,src/brainsafe/figures/thesis_T2_enrichment_and_gate.py,"Figure T2. The two transforms that are easiest to misread: enrichment, and the exposure gate.",,yes
Supporting,src/brainsafe/figures/thesis_T3_uncertainty_stack.py,"Figure T3. The uncertainty stack, and the endpoints it does not reach.",,yes
Supporting,src/brainsafe/figures/thesis_T4_falsification.py,Figure T4. The falsification suite: ten hypotheses stated so that they could fail.,,yes
Supporting,src/brainsafe/gnn/gin_model.py,"A Graph Isomorphism Network (GIN) in pure PyTorch, no torch-geometric.",,yes
Supporting,src/brainsafe/gnn/graph_features.py,"Turn a molecule into a graph for the GNN: atom nodes, bond edges, atom feature vectors.",,yes
Supporting,src/brainsafe/gnn/train_gnn.py,"Train the GIN graph network and compare it, honestly, to the random forest on the same split.",results/gnn/gnn_vs_rf.csv,yes
Supporting,src/brainsafe/models/_train_nav17.py,Train the Nav1.7 binder model.,,yes
Supporting,src/brainsafe/models/_train_ox.py,Train the orexin OX1 and OX2 binder models.,,yes
Supporting,src/brainsafe/models/pools.py,"One partition of the background chemistry, so that no two roles can draw the same compound.",,yes
Supporting,src/brainsafe/panel.py,The panel: one place that says what this server is made of.,,yes
Supporting,src/brainsafe/viz/make_figures.py,Render the result figures for the random-forest models and the feature analysis.,"fig_rf_classification_auroc.png   AUROC per classifier, random vs scaffold 10-fold; fig_rf_regression_r2.png          R-squared per regressor, random vs scaffold 10-fold; fig_compound_counts.png           compounds per endpoint (by data source if available); fig_feature_block_ablation.png    fingerprint-only vs descriptors-only vs combined",yes
Supporting,submission_package/05_CODE/01_data_acquisition/_tls.py,Verified HTTPS on a network whose interception certificate is malformed but trusted.,,no
Supporting,submission_package/05_CODE/01_data_acquisition/assess_remaining_gaps.py,"One more attempt at every mechanism the panel still lacks, using angles not yet tried.",,no
Supporting,submission_package/05_CODE/01_data_acquisition/assess_state_dependence.py,Can a state-dependence endpoint be built? Count the paired measurements that would be needed.,,no
Supporting,submission_package/05_CODE/01_data_acquisition/assess_unmodelled_targets.py,How much measured data exists for the mechanisms the panel does not model?,,no
Supporting,submission_package/05_CODE/01_data_acquisition/audit_batch4.py,Audit the six new endpoints before any of them is trained.,,no
Supporting,submission_package/05_CODE/01_data_acquisition/build_compound_library.py,Build the BrainSafe compound library from measured bioactivity sources.,data/processed/compound_library.csv     one row per unique compound (wide); data/processed/endpoint_labels_long.csv  one row per compound-endpoint measurement (long); results/tables/library_summary.csv       record counts by source and endpoint; docs/DATA_DICTIONARY.md                  definition of every column,no
Supporting,submission_package/05_CODE/01_data_acquisition/build_np_endpoints.py,Build endpoint tables for targets added to close the natural-product gap.,"data/endpoints/<NAME>.csv, in the schema every other endpoint uses; results/tables/np_endpoints_built.csv",no
Supporting,submission_package/05_CODE/01_data_acquisition/fetch_antioxidant.py,Assemble the measured antioxidant regression set from ChEMBL DPPH radical-scavenging assays.,"data/_chembl_cache/antioxidant_dpph_raw.json   raw activities as retrieved; data/endpoints_reg/antioxidant_dpph.csv        smiles,y,year",no
Supporting,submission_package/05_CODE/01_data_acquisition/fetch_batch2.py,"Fetch the second target expansion: ALS, Huntington, neuroinflammation, epilepsy and sleep.",,no
Supporting,submission_package/05_CODE/01_data_acquisition/fetch_batch3.py,"Fetch the second target expansion: ALS, Huntington, neuroinflammation, epilepsy and sleep.",,no
Supporting,submission_package/05_CODE/01_data_acquisition/fetch_batch4.py,Fetch the fourth target expansion: the mechanisms of epilepsy and pain the panel was missing.,,no
Supporting,submission_package/05_CODE/01_data_acquisition/fetch_batch5.py,"Fetch the fifth expansion: migraine, multiple sclerosis, and a genuinely ALS-linked mechanism.",,no
Supporting,submission_package/05_CODE/01_data_acquisition/fetch_bindingdb.py,Fetch measured binding affinities from BindingDB and report the net-new yield per target.,results/tables/bindingdb_yield.csv,no
Supporting,submission_package/05_CODE/01_data_acquisition/fetch_clinical.py,Gather the clinical CNS precedent reference: ATC class N molecules that reached a clinical phase.,"data/clinical_cns_reference.csv    name,smiles,max_phase,atc,disease",no
Supporting,submission_package/05_CODE/01_data_acquisition/fetch_endpoints.py,"Retrieve the measured ChEMBL activities for the core target panel, and the B3DB BBB set.","data/_chembl_cache/<target>_y.json          exact activities, consumed by rebuild_endpoints.py; data/_chembl_cache/<target>_inactive.json   measured non-binders, pooled in as label 0; data/endpoints/BBB.csv                      smiles,label from B3DB classification",no
Supporting,submission_package/05_CODE/01_data_acquisition/fetch_natural_products.py,"Measured natural-product activity against the panel targets, fetched and characterised.","data/_chembl_cache/np_<target>.json          raw activities, as retrieved; results/tables/natural_product_candidates.csv   one row per compound-target measurement; results/tables/natural_product_coverage.csv     per-target summary, and what it would add",no
Supporting,submission_package/05_CODE/01_data_acquisition/fetch_new_targets.py,Fetch measured ChEMBL activities for the new brain-target endpoints.,,no
Supporting,submission_package/05_CODE/01_data_acquisition/fetch_pka.py,"Fetch measured pKa from ChEMBL, and separate basic from acidic ionisation.","data/endpoints_reg/pka_basic.csv, data/endpoints_reg/pka_all.csv",no
Supporting,submission_package/05_CODE/01_data_acquisition/fetch_pubchem_expansion.py,Fetch measured inactives from PubChem BioAssay for the targets whose negative class is thin.,data/_pubchem_cache/<target>_inactives.csv,no
Supporting,submission_package/05_CODE/01_data_acquisition/fetch_pubchem_inactives.py,Fetch measured *inactive* compounds from PubChem BioAssay for the protein-target classifiers.,"data/_pubchem_cache/<target>_inactives.csv  (inchikey, smiles)",no
Supporting,submission_package/05_CODE/01_data_acquisition/fetch_readacross_targets.py,Fetch additional targets to widen read-across beyond the modelled panel.,data/readacross/<TARGET>.csv,no
Supporting,submission_package/05_CODE/01_data_acquisition/find_targets.py,"Resolve ChEMBL target IDs by NAME SEARCH, never by memorised identifier.",data/_chembl_cache/target_search.json,no
Supporting,submission_package/05_CODE/01_data_acquisition/harvest_state_dependence.py,Harvest state-dependent sodium-channel potency from the primary literature.,,no
Supporting,submission_package/05_CODE/01_data_acquisition/ingest_npass.py,"Measured natural-product activity from NPASS 3.0, joined to the panel's own targets.","results/tables/npass_candidates.csv    one row per usable compound-target measurement; results/tables/npass_coverage.csv      per-target summary of what it would add; data/_chembl_cache/uniprot_map.json    resolved accessions, cached",no
Supporting,submission_package/05_CODE/01_data_acquisition/integrate_external.py,Integrate the external compound libraries pulled from the HPC cluster.,external_drugs.csv          standardised DrugBank small molecules (role=evaluation); external_bbb_test.csv       FDA-curated BBB set with measured label + overlap flag vs B3DB; flavonoid_panel.csv         flavonoid-core compounds found across the natural-product sources; natural_products_coverage.csv   deduplicated natural-product coverage set,no
Supporting,submission_package/05_CODE/01_data_acquisition/merge_pubchem_inactives.py,Merge SIMILARITY-MATCHED PubChem inactives into the endpoint tables.,updated data/endpoints/<target>.csv and results/tables/pubchem_merge_provenance.csv,no
Supporting,submission_package/05_CODE/01_data_acquisition/package_caches.py,"Package the raw API caches as one citable archive, with a manifest that can verify them.",,no
Supporting,submission_package/05_CODE/01_data_acquisition/rebuild_endpoints.py,Rebuild the endpoint training tables from pooled ChEMBL + BindingDB measured evidence.,"data/endpoints/<target>.csv        smiles,label,pchembl,year,source   (rebuilt); results/tables/endpoint_rebuild_provenance.csv   per-endpoint source breakdown",no
Supporting,submission_package/05_CODE/01_data_acquisition/rebuild_with_inactives.py,Merge the PubChem measured inactives into the protein-target classifier sets.,"rebuilt data/endpoints/<target>.csv, results/tables/inactives_merge_provenance.csv,; and data/_pubchem_cache/<target>_added.csv (the InChIKeys actually added, for the audit).",no
Supporting,submission_package/05_CODE/01_data_acquisition/recover_expansion_inactives.py,"Recover the measured negative class for the expansion endpoints, and merge it in.","data/_chembl_cache/<target>_inactive.json    raw bounds, as retrieved; data/endpoints/<target>.csv                  extended with the recovered negatives; results/tables/expansion_inactives.csv       what was added, per endpoint",no
Supporting,submission_package/05_CODE/01_data_acquisition/survey_np_targets.py,"Which targets could actually carry a natural-product endpoint, measured rather than guessed.",results/tables/np_target_survey.csv,no
Supporting,submission_package/05_CODE/01_data_acquisition/validate_extraction.py,Measure the error rate of literature extraction before any of it is trusted.,,no
Supporting,submission_package/05_CODE/01_data_acquisition/verify_pathways.py,Verify every target-to-pathway assertion in the knowledge graph against KEGG and Reactome.,data/_chembl_cache/pathway_verification.json,no
Supporting,submission_package/05_CODE/02_featurisation/encodings.py,Reversible integer encodings for the non-numeric metadata fields.,,no
Supporting,submission_package/05_CODE/02_featurisation/featurize.py,Turn a molecular structure into the numeric feature vector the models train on.,,no
Supporting,submission_package/05_CODE/03_model_training/_train_nav17.py,Train the Nav1.7 binder model.,,no
Supporting,submission_package/05_CODE/03_model_training/_train_ox.py,Train the orexin OX1 and OX2 binder models.,,no
Supporting,submission_package/05_CODE/03_model_training/apply_specificity_decisions.py,Act on the deployed-specificity audit.,,no
Supporting,submission_package/05_CODE/03_model_training/calibrate.py,Probability calibration for the classification endpoints.,"results/tables/calibration.csv          Brier and ECE, raw vs calibrated, per endpoint; models_rf/<endpoint>_calibrated.joblib  calibrated deployment model",no
Supporting,submission_package/05_CODE/03_model_training/calibrate_background_specificity.py,Add a background-specificity requirement to every binder threshold.,,no
Supporting,submission_package/05_CODE/03_model_training/calibrate_binder_thresholds.py,Calibrate each binder model's decision threshold against EXPERIMENTALLY MEASURED inactives.,"mode, base rate where applicable, the; calibrated threshold, the measured-inactive AUROC and the achieved false-positive rate.",no
Supporting,submission_package/05_CODE/03_model_training/compress_models.py,"Recompress the deployed models, verifying that not one prediction changes.",,no
Supporting,submission_package/05_CODE/03_model_training/final_thresholds.py,"Set every binder decision threshold from two independent requirements, computed from scratch.",,no
Supporting,submission_package/05_CODE/03_model_training/package_models.py,"Package the deployed models as one archive, with a manifest that can verify it.",,no
Supporting,submission_package/05_CODE/03_model_training/pools.py,"One partition of the background chemistry, so that no two roles can draw the same compound.",,no
Supporting,submission_package/05_CODE/03_model_training/screening_thresholds.py,"Compute a second, high-precision threshold set for low-prevalence screening.",results/tables/screening_thresholds.csv,no
Supporting,submission_package/05_CODE/03_model_training/train_batch2.py,"Train the second expansion batch, choosing the appropriate task per target.",,no
Supporting,submission_package/05_CODE/03_model_training/train_binders_hybrid.py,Hybrid retraining: property-matched decoys PLUS experimentally measured inactives.,,no
Supporting,submission_package/05_CODE/03_model_training/train_measured_label_holdout.py,Retrain the remaining measured-label models with a held-out inactive split.,,no
Supporting,submission_package/05_CODE/03_model_training/train_new_binders.py,Decoy-aware binder classifiers for the 14 new brain-target endpoints.,,no
Supporting,submission_package/05_CODE/03_model_training/train_pka.py,Train a most-basic-pKa regressor for the CNS MPO desirability score.,"models_rf/pka_basic.joblib, models_rf/pka_basic_meta.json, results/tables/pka_model.csv",no
Supporting,submission_package/05_CODE/03_model_training/train_receptor_binders.py,"Decoy-aware receptor binder classifiers (D2, A2A, HT2A, SERT).",,no
Supporting,submission_package/05_CODE/03_model_training/train_rf.py,"Random-forest models for the twelve endpoints, with ten-fold cross-validation.","results/tables/rf_cv_folds.csv     one row per endpoint x split x fold, with all metrics; results/tables/rf_cv_summary.csv   mean +/- sd per endpoint x split (headline metric first); models_rf/<endpoint>.joblib        final model refit on all data, for deployment; models_rf/<endpoint>_meta.json     n, positives, features, hyper-parameters, CV summary",no
Supporting,submission_package/05_CODE/04_validation/app_health.py,Pre-flight check on the deployed application.,,no
Supporting,submission_package/05_CODE/04_validation/applicability_domain.py,"Applicability domain: how far a prediction sits from the training data, and whether that matters.",results/tables/applicability_bbb_validation.csv   in- vs out-of-domain metrics on the 306 drugs; results/tables/applicability_coverage.csv         in-domain fraction per endpoint on DrugBank,no
Supporting,submission_package/05_CODE/04_validation/applicability_measures.py,Which applicability-domain measure actually separates chemistry the panel cannot place?,results/tables/applicability_measures.csv,no
Supporting,submission_package/05_CODE/04_validation/audit_expansion.py,Audit the effect of the BindingDB expansion: compare pooled models to the ChEMBL-only baseline.,results/tables/expansion_audit.csv,no
Supporting,submission_package/05_CODE/04_validation/audit_inactives.py,Audit the PubChem-inactive augmentation: is the change genuine or an easy-negative artefact?,results/tables/inactives_audit.csv,no
Supporting,submission_package/05_CODE/04_validation/background_specificity_disjoint.py,"The background false-positive rate at the CURRENTLY DEPLOYED threshold, measured honestly.",results/tables/background_specificity_disjoint.csv,no
Supporting,submission_package/05_CODE/04_validation/binder_cv_per_fold.py,Per-fold ten-fold cross-validation for the binder panel.,"results/tables/binder_cv_folds.csv     one row per endpoint x split x fold; results/tables/binder_cv_summary.csv   mean and sd per endpoint x split, with the recorded value",no
Supporting,submission_package/05_CODE/04_validation/binder_vs_measured_inactives.py,Rebuild the binder-versus-measured-inactives table from the registry that supersedes it.,results/tables/binder_vs_measured_inactives.csv,no
Supporting,submission_package/05_CODE/04_validation/deployed_specificity_audit.py,What does every DEPLOYED binder model do when shown chemistry it has no business recognising?,,no
Supporting,submission_package/05_CODE/04_validation/external_100.py,Prospective external validation on compounds absent from every training set.,"results/tables/external_100_predictions.csv   one row per compound, all endpoint outputs; results/tables/external_100_summary.csv       accuracy statistics with confidence intervals",no
Supporting,submission_package/05_CODE/04_validation/external_100_stats.py,Statistical analysis of the prospective external validation.,results/tables/external_100_summary.csv,no
Supporting,submission_package/05_CODE/04_validation/external_cross_source.py,Cross-provenance validation: does the panel survive a change of curator?,results/tables/external_cross_source.csv; results/tables/external_cross_source_compounds.csv,no
Supporting,submission_package/05_CODE/04_validation/external_natural_products.py,External validation on natural products: how the deployed panel behaves on chemistry it has not,results/tables/external_natural_products.csv; results/tables/external_natural_products_summary.csv,no
Supporting,submission_package/05_CODE/04_validation/external_novelty_strata.py,Does prospective accuracy survive when the test compound does not resemble the training set?,results/tables/external_novelty_strata.csv,no
Supporting,submission_package/05_CODE/04_validation/external_prospective.py,Prospective validation: what would this panel have said about chemistry that did not yet exist?,results/tables/external_prospective.csv         one row per endpoint; results/tables/external_prospective_compounds.csv  one row per test compound,no
Supporting,submission_package/05_CODE/04_validation/external_prospective_core.py,"The same prospective test for the twelve core endpoints, with the control the old one lacked.",results/tables/external_prospective_core.csv; appends to results/tables/external_prospective_compounds.csv is NOT done; the core; compound-level rows go to their own file so the two panels stay separable.,no
Supporting,submission_package/05_CODE/04_validation/external_validation.py,External validation of the trained models on data held entirely out of training.,results/tables/external_bbb_validation.csv     metrics on the 306 novel approved-drug BBB compounds; results/tables/drugbank_screen_summary.csv     predicted-active fraction per endpoint on DrugBank,no
Supporting,submission_package/05_CODE/04_validation/feature_analysis.py,"Justify the retained features: which feature blocks matter, and which descriptors drive each model.",results/tables/feature_block_ablation.csv       headline metric per endpoint x block; results/tables/feature_descriptor_importance.csv  per-endpoint importance of each descriptor,no
Supporting,submission_package/05_CODE/04_validation/fingerprint_collisions.py,Measure how many distinct atomic environments share a bit in the folded fingerprint.,results/tables/fingerprint_collisions.csv,no
Supporting,submission_package/05_CODE/04_validation/integrity_audit.py,Integrity and reliability audit for a tool intended to displace wet-lab experiments.,results/tables/integrity_audit.csv,no
Supporting,submission_package/05_CODE/04_validation/learning_curve.py,What happens if we add more training data? A scaffold-honest learning curve.,results/tables/learning_curve.csv; results/figures/fig_learning_curve.png,no
Supporting,submission_package/05_CODE/04_validation/library_sp3_coverage.py,The two library-composition figures behind the natural-product limitation.,,no
Supporting,submission_package/05_CODE/04_validation/model_comparison.py,"Does a different estimator beat the random forest? Five families, same features, same folds.",results/tables/model_comparison.csv,no
Supporting,submission_package/05_CODE/04_validation/model_family_significance.py,Paired significance test on the model-family comparison.,,no
Supporting,submission_package/05_CODE/04_validation/noncns_specificity.py,Large-scale specificity test on ~1000 compounds with no known engagement of any modelled target.,results/tables/noncns_specificity_predictions.csv   per-compound predictions; results/tables/noncns_specificity_summary.csv       rates with Wilson intervals,no
Supporting,submission_package/05_CODE/04_validation/noncns_specificity_fast.py,"Large-scale specificity test, efficient construction of the negative set.",results/tables/noncns_specificity_predictions.csv; results/tables/noncns_specificity_summary.csv,no
Supporting,submission_package/05_CODE/04_validation/permutation_null.py,The label-permutation null the technical report asserts but never wrote to a file.,,no
Supporting,submission_package/05_CODE/04_validation/provenance_audit.py,Which reported results are still true of the model that is deployed?,,no
Supporting,submission_package/05_CODE/04_validation/refresh_background_specificity.py,Bring background_specificity.csv's reported columns back into line with the registry.,,no
Supporting,submission_package/05_CODE/04_validation/rf_conformal_temporal.py,Conformal prediction and temporal validation for the random-forest models.,"results/tables/rf_conformal.csv, results/tables/rf_temporal.csv",no
Supporting,submission_package/05_CODE/04_validation/scaffold_holdout_panel.py,"Scaffold-held-out retraining of the whole binder panel, for a properly powered prospective test.","models_rf/holdout/*.joblib, models_rf/holdout/binder_modes.json",no
Supporting,submission_package/05_CODE/04_validation/scaffold_holdout_report.py,Complete results table for the scaffold-held-out prospective test.,results/tables/scaffold_holdout_results.csv,no
Supporting,submission_package/05_CODE/04_validation/sensitivity_reconciliation.py,Reconcile the four figures this project reports for deployed sensitivity.,,no
Supporting,submission_package/05_CODE/04_validation/shap_attribution.py,"Whether SHAP attribution actually recovers known physicochemistry, measured rather than asserted.",results/tables/shap_attribution.csv,no
Supporting,submission_package/05_CODE/04_validation/stereochemistry_audit.py,What does ignoring chirality actually cost this panel?,results/tables/stereochemistry_audit.csv; results/tables/stereochemistry_pairs.csv,no
Supporting,submission_package/05_CODE/04_validation/unique_compound_count.py,"How many distinct compounds the panel is trained on, counted the way the manuscript claims.",results/tables/unique_compound_count.csv,no
Supporting,submission_package/05_CODE/04_validation/validate_inversion.py,"Adversarial (inversion) validation: try to break the model, confirm it holds.","results/tables/inversion_validation.csv (check, result, detail)",no
Supporting,submission_package/05_CODE/05_falsification/audit_mesh_map.py,Audit the MeSH-to-panel mapping used by H6.,,no
Supporting,submission_package/05_CODE/05_falsification/inv_barrier_necessity.py,H10: does the barrier model earn its place over a descriptor rule?,,no
Supporting,submission_package/05_CODE/05_falsification/inv_clinical_indication.py,H6: do the disease scores predict real clinical indications?,,no
Supporting,submission_package/05_CODE/05_falsification/inv_disease_discrimination.py,"H9: does the disease layer discriminate between compounds, or only echo which indications are common?",,no
Supporting,submission_package/05_CODE/05_falsification/inv_disease_layer.py,"H1-H3: does the disease layer carry information, and are its design choices justified?",,no
Supporting,submission_package/05_CODE/05_falsification/inv_distant_specificity.py,H4: does the reported specificity survive outside the training neighbourhood?,,no
Supporting,submission_package/05_CODE/05_falsification/inv_panel_independence.py,"H8: does a larger panel add information, or only more chances to fire?",,no
Supporting,submission_package/05_CODE/05_falsification/inv_readacross_value.py,H5: does read-across carry information beyond what a frequency baseline would give?,,no
Supporting,submission_package/05_CODE/05_falsification/inv_target_discrimination.py,H7: what does silence mean? Deployed sensitivity of every target in the panel.,,no
Supporting,submission_package/05_CODE/05_falsification/summarise.py,Collect the inversion results into one verdict table and a written report.,,no
Supporting,submission_package/05_CODE/06_figures/fig01_architecture.py,"Figure 1. How many models there are, what each one is, and how they compose into one answer.",,no
Supporting,submission_package/05_CODE/06_figures/fig02_feature_vector.py,"Figure 2. What the estimator is actually given, computed for a real molecule.",,no
Supporting,submission_package/05_CODE/06_figures/fig03_cv_design.py,"Figure 3. Two cross-validation schemes, and the gap between them.",,no
Supporting,submission_package/05_CODE/06_figures/fig04_pools_and_thresholds.py,"Figure 4. Where the negatives come from, and why the threshold is set on one pool and measured",,no
Supporting,submission_package/05_CODE/06_figures/fig05_negative_class.py,"Figure 5. Recovering the measured negative class, and what it changed.",,no
Supporting,submission_package/05_CODE/06_figures/fig06_validation.py,Figure 6. Four validations that a cross-validated score cannot substitute for.,,no
Supporting,submission_package/05_CODE/06_figures/fig07_binder_panel.py,"Figure 7. The binder panel, all 52 endpoints, including the ones that do not work.",,no
Supporting,submission_package/05_CODE/06_figures/fig08_use_case.py,"Figure 4 of the manuscript. A worked profile, and the behaviour that matters as much: silence.",manuscript/figures/Figure8_use_case.png (and .pdf),no
Supporting,submission_package/05_CODE/06_figures/fig09_model_atlas.py,"Figure 2 of the manuscript. Every deployed estimator, what it predicts, and what stands behind it.",,no
Supporting,submission_package/05_CODE/06_figures/fig10_endpoint_selection.py,Figure 10: the evidence behind which targets became endpoints and which did not.,,no
Supporting,submission_package/05_CODE/06_figures/fig11_external_validation.py,Figure 11. External validation: an apparent temporal decay that is a composition effect.,,no
Supporting,submission_package/05_CODE/06_figures/fig_decision_tree_example.py,"How the deployed BBB model turns one molecule into one probability, hand-drawn rather than","results/tables/decision_tree_example_full.txt (the complete tree, as text rules).",no
Supporting,submission_package/05_CODE/06_figures/fig_graphical_abstract.py,The graphical abstract NAR requires as a separate submission file.,manuscript/figures/GraphicalAbstract.png (and .pdf),no
Supporting,submission_package/05_CODE/06_figures/style.py,Shared visual language for the manuscript figures.,,no
Supporting,submission_package/05_CODE/06_figures/thesis_T1_scoring_pipeline.py,"Figure T1. What the system computes, from a structure to a reported condition.",,no
Supporting,submission_package/05_CODE/06_figures/thesis_T2_enrichment_and_gate.py,"Figure T2. The two transforms that are easiest to misread: enrichment, and the exposure gate.",,no
Supporting,submission_package/05_CODE/06_figures/thesis_T3_uncertainty_stack.py,"Figure T3. The uncertainty stack, and the endpoints it does not reach.",,no
Supporting,submission_package/05_CODE/06_figures/thesis_T4_falsification.py,Figure T4. The falsification suite: ten hypotheses stated so that they could fail.,,no
Supporting,submission_package/05_CODE/07_reporting/add_reference_links.py,"Resolve PubMed and PubMed Central identifiers for every verified reference, as NAR requires.",,no
Supporting,submission_package/05_CODE/07_reporting/build_audit_package.py,"The audit package: what the model is, what it was fitted to, and what runs a prediction.",,no
Supporting,submission_package/05_CODE/07_reporting/build_manuscript.py,"Assemble the NAR manuscript: inject the generated tables, then convert to .docx.",,no
Supporting,submission_package/05_CODE/07_reporting/build_manuscript_condensed.py,"Assemble the condensed, NAR-length manuscript: resolve citations, then convert to .docx.",,no
Supporting,submission_package/05_CODE/07_reporting/build_manuscript_print_preview.py,Build a two-column print preview of the condensed manuscript.,,no
Supporting,submission_package/05_CODE/07_reporting/build_manuscript_with_figure.py,Build a reading copy of the manuscript with the graphical abstract embedded in the body.,manuscript/NAR_WebServer_BrainSafe_with_figure.docx,no
Supporting,submission_package/05_CODE/07_reporting/build_master_inputs_and_external.py,"Two master files: every training input record, and every compound tested outside training.",,no
Supporting,submission_package/05_CODE/07_reporting/build_master_validation.py,Regenerate the headline validation table from the deployed state.,,no
Supporting,submission_package/05_CODE/07_reporting/build_model_inventory.py,"One dated row per deployed estimator: what it predicts, what it was trained on, how it was tested.","results/tables/MODEL_INVENTORY.csv      one row per deployed estimator; results/tables/MODEL_INVENTORY.md       the same, grouped, for reading",no
Supporting,submission_package/05_CODE/07_reporting/build_review_folder.py,"Assemble the organised review folder: inputs, cross-validation, external validation, models.",,no
Supporting,submission_package/05_CODE/07_reporting/build_reviewer_matrix.py,"Assemble the reviewer workbook: what every model was given, and what every model returns.",,no
Supporting,submission_package/05_CODE/07_reporting/build_reviewer_package.py,"Build the reviewer package: every endpoint, every input, every fold, every feature, every score.",,no
Supporting,submission_package/05_CODE/07_reporting/build_reviewer_workbook.py,"One Excel workbook containing the whole training record, for reviewers.",,no
Supporting,submission_package/05_CODE/07_reporting/build_reviewer_workbook_full.py,"One workbook holding every input and every per-fold result, for a reader who wants the mechanics.",,no
Supporting,submission_package/05_CODE/07_reporting/build_supplementary_information.py,Build the Supplementary Information document that accompanies the condensed manuscript.,,no
Supporting,submission_package/05_CODE/07_reporting/build_technical_report.py,"Generate the technical report: what every endpoint is, how it was trained, and how it was tested.",docs/TECHNICAL_REPORT.md,no
Supporting,submission_package/05_CODE/07_reporting/check_manuscript_numbers.py,Compare every headline number in the manuscript against the artefact that produces it.,,no
Supporting,submission_package/05_CODE/07_reporting/cite.py,"Resolve [@key] citation tokens into NAR-style numbers, and emit the reference list.",,no
Supporting,submission_package/05_CODE/07_reporting/figure_endpoint_rationale.py,"Figure 1: why these endpoints, and how they compose the tool.",,no
Supporting,submission_package/05_CODE/07_reporting/figure_temporal.py,Figure 7: prospective (temporal) performance is governed by the applicability domain.,,no
Supporting,submission_package/05_CODE/07_reporting/figures_powered_validation.py,Manuscript figures for the powered validation. Every value is read from a results table.,,no
Supporting,submission_package/05_CODE/07_reporting/figures_validation.py,Manuscript figures explaining the cross-validation design and the error bars.,,no
Supporting,submission_package/05_CODE/07_reporting/manuscript_tables.py,"Build the complete, manuscript-ready endpoint tables (markdown + CSV).",,no
Supporting,submission_package/05_CODE/07_reporting/per_endpoint_report.py,Complete per-endpoint validation report for the manuscript.,,no
Supporting,submission_package/05_CODE/07_reporting/reorganise_repository.py,"Audit the repository, consolidate everything superseded into one archive, and index what remains.",,no
Supporting,submission_package/05_CODE/07_reporting/report_reference_docx.py,Build the Word reference document that gives the technical report its typography.,docs/report_reference.docx,no
Supporting,submission_package/05_CODE/07_reporting/technical_report_docx.py,"Convert the technical report to Word, with the flowcharts rendered rather than pasted as code.",docs/TECHNICAL_REPORT.docx,no
Supporting,submission_package/05_CODE/07_reporting/temporal_diagnosis.py,"Why is temporal performance low, and what can be done about it?","results/tables/temporal_diagnosis.csv, results/tables/temporal_by_domain.csv",no
Supporting,submission_package/05_CODE/07_reporting/variance_decomposition.py,Why are the cross-validation error bars larger under the scaffold split?,results/tables/manuscript_T4_variance_decomposition.csv,no
Supporting,submission_package/05_CODE/07_reporting/verify_references.py,"Resolve every citation against Europe PMC and CrossRef, so no reference is written from memory.",,no
Supporting,submission_package/05_CODE/07_reporting/verify_references_strict.py,"Resolve citations by EXACT TITLE against CrossRef and Europe PMC, with a strict match test.",manuscript/references_verified.json only. Run cite.py afterwards to carry any change into; manuscript/references.md and the built manuscript.,no
Supporting,submission_package/05_CODE/07_reporting/worked_example.py,"A real query, taken through the deployed pipeline, so the report can explain an actual output.",results/tables/worked_example.csv,no
Supporting,submission_package/05_CODE/08_application/api.py,BrainSafe AI REST API: programmatic access to the same models the web interface serves.,,no
Supporting,submission_package/05_CODE/08_application/app.py,BrainSafe AI: interactive predictor (validated RF + ADME/exposure models).,,no
Supporting,submission_package/05_CODE/08_application/model_fetch.py,Make sure the models are present before anything tries to load them.,,no
Supporting,submission_package/05_CODE/08_application/panel_registry.py,The panel: one place that says what this server is made of.,,no
Supporting,submission_package/05_CODE/09_tests/test_external_validation.py,Invariants of the external-validation programme.,,no
Supporting,submission_package/05_CODE/09_tests/test_featurisation.py,The featuriser: the one component every model depends on.,,no
Supporting,submission_package/05_CODE/09_tests/test_integration_smoke.py,End-to-end: load the deployed models and score reference compounds through the real entry points.,,no
Supporting,submission_package/05_CODE/09_tests/test_panel_app_consistency.py,"The served panel must be the registered panel, and the graph must only name models that exist.",,no
Supporting,submission_package/05_CODE/09_tests/test_pipeline_invariants.py,"Invariants the scientific results depend on, each of which has been violated at least once.",,no
Supporting,submission_package/05_CODE/10_integrity_tooling/check_freshness.py,Is any derived artefact older than something it was derived from?,,no
Supporting,submission_package/05_CODE/10_integrity_tooling/compress_models.py,"Recompress the model files, verifying that predictions are unchanged.",,no
Supporting,tests/test_external_validation.py,Invariants of the external-validation programme.,,yes
Supporting,tests/test_featurisation.py,The featuriser: the one component every model depends on.,,yes
Supporting,tests/test_integration_smoke.py,End-to-end: load the deployed models and score reference compounds through the real entry points.,,yes
Supporting,tests/test_panel_app_consistency.py,"The served panel must be the registered panel, and the graph must only name models that exist.",,yes
Supporting,tests/test_pipeline_invariants.py,"Invariants the scientific results depend on, each of which has been violated at least once.",,yes
Supporting,thesis/build_docx.py,"Convert every thesis chapter to Word, using the project's existing reference styling.",,no
Supporting,thesis/presentations/build_chapter01_defence.py,"Build the Chapter 1 defence deck, reading every figure from an artefact.",,no
Supporting,thesis/presentations/build_chapter03_defence.py,"Build the Chapter 3 defence deck, reading every figure from an artefact.",,no
Supporting,thesis/presentations/build_chapter04_defence.py,"Build the Chapter 4 defence deck, reading every figure from an artefact.",,no
