output,group,returns,role_in_tool,model,model_file,training_compounds,cv_scheme,cv_metric,cv_random,cv_scaffold,decision_threshold,threshold_basis,calibrated_file,positives,rows_before_dedup,duplicate_rows_removed,contradictory_groups_dropped,n_scaffolds,features,hyperparameters,source_table,holdout_auroc_vs_measured_inactives,sensitivity_at_threshold,sensitivity_basis,background_fpr_held_out,n_active_holdout,n_measured_inactive_holdout,reliable_call,mode,deployed
OPRK1 (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/OPRK1_binder.joblib,2590.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.992,0.8733,held_out_measured_inactives_and_background,,2590.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/OPRK1.csv,0.934,0.905,held_out_actives_by_scaffold,0.033,469.0,499.0,True,hybrid_decoys_plus_measured_inactives,True
OPRM1 (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/OPRM1_binder.joblib,2980.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.995,0.7456,held_out_measured_inactives_and_background,,2980.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/OPRM1.csv,0.96,0.959,held_out_actives_by_scaffold,0.0413,738.0,672.0,True,hybrid_decoys_plus_measured_inactives,True
OX1 (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/OX1_binder.joblib,2719.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.998,0.8838,held_out_measured_inactives_and_background,,2719.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/OX1.csv,0.955,0.964,held_out_actives_by_scaffold,0.033,593.0,288.0,True,hybrid_decoys_plus_measured_inactives,True
OX2 (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/OX2_binder.joblib,3267.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.998,0.856,held_out_measured_inactives_and_background,,3267.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/OX2.csv,0.954,0.952,held_out_actives_by_scaffold,0.0377,585.0,344.0,True,hybrid_decoys_plus_measured_inactives,True
P2X7 (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/P2X7_binder.joblib,2377.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.998,0.999,held_out_measured_inactives_and_background,,2377.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/P2X7.csv,0.76,0.731,held_out_actives_by_scaffold,0.013,561.0,85.0,True,hybrid_decoys_plus_measured_inactives,True
PDE10A (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/PDE10A_binder.joblib,3318.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.999,0.8325,held_out_measured_inactives_and_background,,3318.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/PDE10A.csv,0.967,0.965,held_out_actives_by_scaffold,0.0283,766.0,122.0,True,hybrid_decoys_plus_measured_inactives,True
PDE4B (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/PDE4B_binder.joblib,924.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.99,0.5402,held_out_measured_inactives_and_background,,924.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/PDE4B.csv,0.973,0.974,held_out_actives_by_scaffold,0.0133,204.0,166.0,True,hybrid_decoys_plus_measured_inactives,True
RIPK1 (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/RIPK1_binder.joblib,1156.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.993,0.5,random_chemistry_specificity,,1156.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/RIPK1.csv,0.983,0.969,held_out_actives_by_scaffold,0.0003,334.0,451.0,True,hybrid_decoys_plus_measured_inactives,True
SERT (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/SERT_binder.joblib,2251.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.992,0.7033,held_out_measured_inactives_and_background,,2251.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/SERT.csv,0.936,0.931,held_out_actives_by_scaffold,0.0427,720.0,281.0,True,hybrid_decoys_plus_measured_inactives,True
SIRT1 (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/SIRT1_binder.joblib,,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.896,0.65,random_chemistry_specificity,,125.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/SIRT1.csv,0.795,0.833,held_out_actives_by_scaffold,0.0097,37.0,,True,measured_labels_holdout,True
Sigma1 (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/Sigma1_binder.joblib,1514.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.989,0.9364,held_out_measured_inactives_and_background,,1514.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/Sigma1.csv,0.81,0.813,held_out_actives_by_scaffold,0.035,414.0,56.0,True,hybrid_decoys_plus_measured_inactives,True
TAAR1 (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/TAAR1_binder.joblib,,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.805,0.9191,held_out_measured_inactives_and_background,,189.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/TAAR1.csv,0.725,0.742,held_out_actives_by_scaffold,0.016,49.0,,False,measured_labels_holdout,True
a3b4nAChR (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/a3b4nAChR_binder.joblib,156.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.945,0.45,random_chemistry_specificity,,156.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/a3b4nAChR.csv,0.973,0.955,held_out_actives_by_scaffold,0.0127,42.0,148.0,True,hybrid_decoys_plus_measured_inactives,True
a4b2nAChR (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/a4b2nAChR_binder.joblib,389.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.981,0.7229,held_out_measured_inactives_and_background,,389.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/a4b2nAChR.csv,0.937,0.899,held_out_actives_by_scaffold,0.0023,87.0,177.0,True,hybrid_decoys_plus_measured_inactives,True
a7nAChR (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/a7nAChR_binder.joblib,266.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.973,0.7801,held_out_measured_inactives_and_background,,266.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/a7nAChR.csv,0.896,0.825,held_out_actives_by_scaffold,0.0047,71.0,193.0,True,hybrid_decoys_plus_measured_inactives,True
mGluR5 (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/mGluR5_binder.joblib,954.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.984,0.9041,held_out_measured_inactives_and_background,,954.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/mGluR5.csv,0.924,0.805,held_out_actives_by_scaffold,0.0077,246.0,264.0,True,hybrid_decoys_plus_measured_inactives,True
mTOR (binder),binder classifier,"probability 0-1, called against a per-target threshold",target engagement feeding the disease layer,RandomForest + sigmoid calibration (CalibratedClassifierCV),models_rf/mTOR_binder.joblib,2430.0,GroupKFold(10) on scaffold; actives withheld by scaffold group,AUROC (scaffold CV),,0.998,0.1735,held_out_measured_inactives_and_background,,2430.0,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 4, ""class_weight"": ""balanced"", ""random_state"": 42}",data/endpoints/mTOR.csv,0.992,0.996,held_out_actives_by_scaffold,0.0283,554.0,557.0,True,hybrid_decoys_plus_measured_inactives,True
adme_caco2_permeability,ADME / exposure,"continuous, units per training data","exposure and developability context, not a disease score",RandomForestRegressor,models_rf/adme/caco2_permeability.joblib,897.0,StratifiedKFold(10)/KFold(10) random and GroupKFold(10) on scaffold,R2,0.7342,0.5837,,,,,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""n_jobs"": -1, ""random_state"": 42}",data/adme/caco2_permeability.csv,,,,,,,,,
adme_clearance_hepatocyte,ADME / exposure,"continuous, units per training data","exposure and developability context, not a disease score",RandomForestRegressor,models_rf/adme/clearance_hepatocyte.joblib,1020.0,StratifiedKFold(10)/KFold(10) random and GroupKFold(10) on scaffold,R2,0.2302,0.2062,,,,,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""n_jobs"": -1, ""random_state"": 42}",data/adme/clearance_hepatocyte.csv,,,,,,,,,
adme_kpuu,ADME / exposure,"continuous, units per training data","exposure and developability context, not a disease score",RandomForestRegressor,models_rf/adme/kpuu.joblib,566.0,StratifiedKFold(10)/KFold(10) random and GroupKFold(10) on scaffold,R2,0.4044,0.3525,,,,,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""n_jobs"": -1, ""random_state"": 42}",data/adme/kpuu.csv,,,,,,,,,
adme_lipophilicity,ADME / exposure,"continuous, units per training data","exposure and developability context, not a disease score",RandomForestRegressor,models_rf/adme/lipophilicity.joblib,4200.0,StratifiedKFold(10)/KFold(10) random and GroupKFold(10) on scaffold,R2,0.6389,0.5659,,,,,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""n_jobs"": -1, ""random_state"": 42}",data/adme/lipophilicity.csv,,,,,,,,,
adme_logbb,ADME / exposure,"continuous, units per training data","exposure and developability context, not a disease score",RandomForestRegressor,models_rf/adme/logbb.joblib,1058.0,StratifiedKFold(10)/KFold(10) random and GroupKFold(10) on scaffold,R2,0.5774,0.4235,,,,,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""n_jobs"": -1, ""random_state"": 42}",data/adme/logbb.csv,,,,,,,,,
adme_pgp_inhibition,ADME / exposure,probability 0-1,"exposure and developability context, not a disease score",RandomForestClassifier,models_rf/adme/pgp_inhibition.joblib,1212.0,StratifiedKFold(10)/KFold(10) random and GroupKFold(10) on scaffold,AUROC,0.9549,0.9346,0.5,fixed 0.5,,,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""n_jobs"": -1, ""random_state"": 42}",data/adme/pgp_inhibition.csv,,,,,,,,,
adme_pgp_substrate,ADME / exposure,probability 0-1,"exposure and developability context, not a disease score",RandomForestClassifier,models_rf/adme/pgp_substrate.joblib,1371.0,StratifiedKFold(10)/KFold(10) random and GroupKFold(10) on scaffold,AUROC,0.8576,0.8059,0.5,fixed 0.5,,,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""n_jobs"": -1, ""random_state"": 42}",data/adme/pgp_substrate.csv,,,,,,,,,
adme_plasma_protein_binding,ADME / exposure,"continuous, units per training data","exposure and developability context, not a disease score",RandomForestRegressor,models_rf/adme/plasma_protein_binding.joblib,1797.0,StratifiedKFold(10)/KFold(10) random and GroupKFold(10) on scaffold,R2,0.4336,0.3645,,,,,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""n_jobs"": -1, ""random_state"": 42}",data/adme/plasma_protein_binding.csv,,,,,,,,,
adme_solubility,ADME / exposure,"continuous, units per training data","exposure and developability context, not a disease score",RandomForestRegressor,models_rf/adme/solubility.joblib,9573.0,StratifiedKFold(10)/KFold(10) random and GroupKFold(10) on scaffold,R2,0.8036,0.7279,,,,,,,,,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""n_jobs"": -1, ""random_state"": 42}",data/adme/solubility.csv,,,,,,,,,
